"","DEPARTAMENTO.DOMICILIO","Nconf","Nsosp","Ntot","NMINSA","Factor"
"1","LIMA",32273,12671,44944,20770,2.16389022628792
"2","PIURA",3959,1725,5684,2429,2.34005763688761
"3","CALLAO",3699,1378,5077,2515,2.01868787276342
"4","ICA",3444,983,4427,2297,1.9272964736613
"5","AREQUIPA",3025,1319,4344,2039,2.13045610593428
"6","LA LIBERTAD",2649,841,3490,2879,1.21222646752345
"7","JUNIN",2798,607,3405,1560,2.18269230769231
"8","LAMBAYEQUE",2280,711,2991,2164,1.38216266173752
"9","ANCASH",2198,616,2814,1891,1.48810153358012
"10","CUSCO",1737,332,2069,767,2.69752281616688
"11","LORETO",1005,846,1851,1212,1.52722772277228
"12","PUNO",1479,315,1794,638,2.81191222570533
"13","CAJAMARCA",1571,215,1786,809,2.20766378244747
"14","HUANUCO",1254,248,1502,766,1.96083550913838
"15","SAN MARTIN",1043,274,1317,899,1.46496106785317
"16","TACNA",931,160,1091,611,1.78559738134206
"17","UCAYALI",677,331,1008,541,1.86321626617375
"18","AYACUCHO",759,127,886,516,1.71705426356589
"19","MOQUEGUA",579,256,835,461,1.81127982646421
"20","HUANCAVELICA",565,113,678,243,2.79012345679012
"21","TUMBES",530,105,635,449,1.41425389755011
"22","APURIMAC",451,112,563,277,2.03249097472924
"23","PASCO",407,70,477,249,1.91566265060241
"24","AMAZONAS",360,75,435,329,1.32218844984802
"25","MADRE DE DIOS",400,29,429,180,2.38333333333333
"26","SIN REGISTRO",26,16,42,NA,NA
"27","Total",70099,24475,94574,47491,48.5508949105506
